,Datetime,Open,High,Low,Close,Volume
171,2025-05-01 01:00:00,1797.76,1810.55,1797.76,1809.91,14529.9268
172,2025-05-01 02:00:00,1809.92,1819.0,1805.3,1807.56,22553.0252
173,2025-05-01 03:00:00,1807.57,1814.19,1805.37,1807.99,10117.9132
174,2025-05-01 04:00:00,1807.99,1810.38,1804.0,1809.0,7083.2513
175,2025-05-01 05:00:00,1809.0,1816.9,1805.61,1813.65,11123.4469
176,2025-05-01 06:00:00,1813.64,1815.19,1805.14,1806.54,7165.9252
177,2025-05-01 07:00:00,1806.54,1814.77,1802.14,1810.6,9403.1368
178,2025-05-01 08:00:00,1810.59,1820.09,1808.8,1817.83,15753.105
179,2025-05-01 09:00:00,1817.83,1824.52,1814.93,1817.53,18109.927
180,2025-05-01 10:00:00,1817.53,1851.0,1817.52,1847.61,60681.5637
181,2025-05-01 11:00:00,1847.6,1859.23,1838.2,1845.58,42006.6804
182,2025-05-01 12:00:00,1845.58,1855.07,1841.92,1849.29,27600.0637
183,2025-05-01 13:00:00,1849.28,1851.69,1825.2,1826.83,54901.2164
184,2025-05-01 14:00:00,1826.84,1850.0,1826.84,1848.59,38928.6114
185,2025-05-01 15:00:00,1848.59,1873.17,1844.65,1852.99,85379.8847
186,2025-05-01 16:00:00,1853.0,1870.25,1852.22,1859.7,22021.6305
187,2025-05-01 17:00:00,1859.7,1864.88,1846.41,1856.11,18272.1528
188,2025-05-01 18:00:00,1856.11,1858.4,1847.75,1856.0,15835.4412
189,2025-05-01 19:00:00,1855.99,1856.09,1838.49,1842.82,15174.2933
190,2025-05-01 20:00:00,1842.89,1851.01,1836.94,1839.41,14097.365
191,2025-05-01 21:00:00,1839.4,1849.31,1839.4,1843.79,6839.4594
192,2025-05-01 22:00:00,1843.8,1846.05,1837.6,1838.71,5904.1691
193,2025-05-01 23:00:00,1838.71,1840.94,1833.5,1838.11,6560.7354
194,2025-05-02 00:00:00,1838.1,1850.61,1835.1,1847.75,10975.9269
195,2025-05-02 01:00:00,1847.75,1851.3,1839.0,1842.72,10982.0317
196,2025-05-02 02:00:00,1842.71,1849.75,1839.2,1846.8,7337.3773
197,2025-05-02 03:00:00,1846.81,1850.77,1843.8,1847.74,7143.2187
