2025-08-05 21:54:23,794 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,803 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,836 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,925 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:23,971 - WARNING - Không tìm thấy nến tiếp theo cho signal 2025-08-05 00:00:00
2025-08-05 21:54:24,011 - INFO - Backtest completed
2025-08-05 21:54:49,348 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-05 21:54:49,545 - INFO - Backtest engine initialized with balance: 10,000,000 VND
2025-08-05 21:54:49,549 - INFO - Starting backtest with 9 signals
2025-08-05 21:54:49,561 - INFO - 📋 Quy tắc: Mua 100 CP với giá mở cửa nến tiếp theo, Bán toàn bộ với giá mở cửa nến tiếp theo
2025-08-05 21:54:49,565 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,570 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,573 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,628 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,639 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,644 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,658 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,710 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,715 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:54:49,716 - INFO - Backtest completed
2025-08-05 21:55:36,910 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-05 21:55:37,167 - INFO - Backtest engine initialized with balance: 10,000,000 VND
2025-08-05 21:55:37,169 - INFO - Starting backtest with 10 signals
2025-08-05 21:55:37,170 - INFO - 📋 Quy tắc: Mua 100 CP với giá mở cửa nến tiếp theo, Bán toàn bộ với giá mở cửa nến tiếp theo
2025-08-05 21:55:37,193 - INFO - BUY 100 ABS @ 3,480 VND (Cost: 348,000 VND)
2025-08-05 21:55:37,210 - INFO - SELL 100 ABS @ 3,800 VND, P&L: 32,000 VND (9.20%)
2025-08-05 21:55:37,218 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:55:37,270 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:55:37,276 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:55:37,308 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:55:37,325 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:55:37,367 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:55:37,391 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:55:37,402 - INFO - No position in ABS, skipping SELL signal
2025-08-05 21:55:37,407 - INFO - Backtest completed
