,Datetime,Open,High,Low,Close,Volume,Momentum,RSI,Predicted_Close,Buy_Signal,Sell_Signal
82,2024-03-06 10:00:00,1.08761,1.08792,1.08746,1.08766,735,0.0025000000000001688,86.54970760234187,1.0876844232677654,False,False
83,2024-03-06 10:30:00,1.08766,1.08774,1.08731,1.08769,667,0.002650000000000041,89.78978978978975,1.0877363567818452,False,False
84,2024-03-06 11:00:00,1.0877,1.0878,1.08715,1.08723,732,0.0021799999999998487,78.83597883597595,1.0877757567545243,False,False
85,2024-03-06 11:30:00,1.08722,1.08769,1.08714,1.08754,646,0.0023800000000000487,79.89949748743541,1.0872767131991146,False,False
86,2024-03-06 12:00:00,1.08753,1.08786,1.08742,1.08743,693,0.0020899999999999253,76.72634271099442,1.0875761999828062,False,False
87,2024-03-06 12:30:00,1.08743,1.08754,1.08674,1.08686,897,0.0013699999999998713,65.81986143186857,1.087471751961567,True,False
88,2024-03-06 13:00:00,1.08688,1.08769,1.08683,1.08742,1507,0.0017599999999999838,68.6440677966089,1.086889140934573,False,False
89,2024-03-06 13:30:00,1.08741,1.08847,1.08682,1.08844,2918,0.0025300000000001432,73.04189435336923,1.0874341107109886,False,False
90,2024-03-06 14:00:00,1.08842,1.08878,1.08826,1.08846,1399,0.0021899999999999142,71.2621359223284,1.0884144370862054,False,False
91,2024-03-06 14:30:00,1.08847,1.0889199999999999,1.08828,1.08867,1444,0.0025200000000000777,74.04580152671768,1.0884574859993879,False,False
92,2024-03-06 15:00:00,1.08866,1.08916,1.08812,1.08898,2322,0.0023999999999999577,73.43749999999953,1.0886554616759208,False,False
93,2024-03-06 15:30:00,1.08898,1.09083,1.08857,1.09048,1803,0.003209999999999935,77.06576728499107,1.0889764964379292,False,False
94,2024-03-06 16:00:00,1.09047,1.09053,1.08993,1.09053,1461,0.0034799999999999276,80.20833333333161,1.0904308178707662,False,False
95,2024-03-06 16:30:00,1.09055,1.09148,1.09009,1.09117,1501,0.0035600000000000076,80.47945205479307,1.090476647562963,False,False
96,2024-03-06 17:00:00,1.09119,1.0915,1.0907499999999999,1.0907499999999999,1459,0.003089999999999815,74.87922705313753,1.0911159091769618,False,False
97,2024-03-06 17:30:00,1.09078,1.09102,1.08992,1.09022,1207,0.002529999999999921,68.85245901639225,1.0906991358179257,True,False
98,2024-03-06 18:00:00,1.09023,1.0907499999999999,1.0902,1.09074,841,0.003510000000000124,75.92319054652909,1.0901777680311382,False,False
99,2024-03-06 18:30:00,1.09073,1.09076,1.09003,1.09026,1298,0.0027200000000000557,69.59654178674344,1.0906517589609306,True,False
100,2024-03-06 19:00:00,1.09025,1.09026,1.08934,1.08973,1403,0.0023000000000001908,65.62500000000122,1.090203390567764,True,False
101,2024-03-06 19:30:00,1.08974,1.08987,1.08931,1.08967,1113,0.002809999999999979,70.5109489051086,1.0896829582725152,False,False
102,2024-03-06 20:00:00,1.08964,1.08978,1.08927,1.08956,1059,0.0021400000000000308,66.71875000000034,1.0896054623824998,True,False
103,2024-03-06 20:30:00,1.08958,1.08993,1.08934,1.08987,875,0.0014299999999998203,62.56590509665978,1.0895372975172035,False,False
104,2024-03-06 21:00:00,1.08984,1.08992,1.0895299999999999,1.08955,280,0.0010900000000000354,59.0984974958271,1.0898944438548304,True,False
105,2024-03-06 21:30:00,1.08956,1.08988,1.08951,1.08983,341,0.0011600000000000499,59.570957095710405,1.0895812016569768,False,False
106,2024-03-06 22:00:00,1.08985,1.08987,1.0896,1.08973,541,0.0007500000000000284,56.410256410257,1.0898598603096772,True,False
107,2024-03-06 22:30:00,1.08974,1.08985,1.08963,1.08979,431,-0.0006899999999998574,42.17687074830059,1.089778588487249,False,True
108,2024-03-06 23:00:00,1.08977,1.0901399999999999,1.08975,1.08991,325,-0.0006200000000000649,43.08035714285579,1.0898835706160102,False,True
109,2024-03-06 23:30:00,1.0899,1.09008,1.08977,1.08981,290,-0.0013600000000000279,32.74111675126697,1.0900041538317946,False,False
110,2024-03-07 00:00:00,1.08991,1.09071,1.0899,1.09008,589,-0.0006699999999999484,41.16094986807342,1.089902405783611,False,True
111,2024-03-07 00:30:00,1.09008,1.09051,1.09002,1.0903,744,8.000000000008001e-05,51.149425287357566,1.0901660805493214,False,False
112,2024-03-07 01:00:00,1.0903,1.09038,1.08987,1.09016,918,-0.0005800000000000249,40.64516129032115,1.0903850876027428,False,False
113,2024-03-07 01:30:00,1.09017,1.09029,1.08963,1.08978,853,-0.00048000000000003595,41.999999999998515,1.0902330266311606,False,False
114,2024-03-07 02:00:00,1.08978,1.08989,1.08934,1.08935,582,-0.00038000000000004697,43.44827586206743,1.0898493662797777,False,False
115,2024-03-07 02:30:00,1.08935,1.08983,1.08935,1.08981,582,0.000140000000000029,52.121212121212935,1.0894159843814926,False,False
116,2024-03-07 03:00:00,1.0898,1.08988,1.08949,1.08978,380,0.00021999999999988695,53.416149068321694,1.0898917615578536,True,False
117,2024-03-07 03:30:00,1.08978,1.09012,1.08966,1.09002,494,0.0001500000000000945,52.380952380954064,1.0898629677858633,False,False
118,2024-03-07 04:00:00,1.09002,1.09041,1.09001,1.0904,611,0.0008500000000000174,63.23987538940864,1.090104614941749,False,False
119,2024-03-07 04:30:00,1.09039,1.09052,1.09022,1.09032,516,0.0004899999999998794,58.139534883719044,1.0904972970750286,True,False
