Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VCB,56300,02/06/2025,14:14:58,56300,56300,56200,56300,12200
VCB,56300,02/06/2025,14:14:58,56300,56300,56200,56300,12200
VCB,56300,02/06/2025,14:14:58,56300,56300,56200,56300,12200
VCB,56200,02/06/2025,14:15:47,56200,56300,56200,56200,3600
VCB,56200,02/06/2025,14:15:47,56200,56300,56200,56200,3600
VCB,56200,02/06/2025,14:15:47,56200,56300,56200,56200,3600
VCB,56200,02/06/2025,14:16:49,56200,56300,56200,56200,60000
VCB,56200,02/06/2025,14:16:49,56200,56300,56200,56200,60000
VCB,56200,02/06/2025,14:16:49,56200,56300,56200,56200,60000
VCB,56200,02/06/2025,14:17:50,56200,56200,56200,56200,23100
VCB,56200,02/06/2025,14:17:50,56200,56200,56200,56200,23100
VCB,56200,02/06/2025,14:17:50,56200,56200,56200,56200,23100
VCB,56200,02/06/2025,14:18:58,56200,56200,56200,56200,3200
VCB,56200,02/06/2025,14:18:58,56200,56200,56200,56200,3200
VCB,56200,02/06/2025,14:18:58,56200,56200,56200,56200,3200
VCB,56200,02/06/2025,14:19:48,56200,56300,56200,56200,3200
VCB,56200,02/06/2025,14:19:48,56200,56300,56200,56200,3200
VCB,56200,02/06/2025,14:19:48,56200,56300,56200,56200,3200
VCB,56200,02/06/2025,14:20:50,56200,56300,56200,56200,14300
VCB,56200,02/06/2025,14:20:50,56200,56300,56200,56200,14300
VCB,56200,02/06/2025,14:20:50,56200,56300,56200,56200,14300
VCB,56200,02/06/2025,14:21:50,56300,56300,56200,56200,2200
VCB,56200,02/06/2025,14:21:50,56300,56300,56200,56200,2200
VCB,56200,02/06/2025,14:21:50,56300,56300,56200,56200,2200
VCB,56300,02/06/2025,14:22:59,56200,56300,56200,56300,21300
VCB,56300,02/06/2025,14:22:59,56200,56300,56200,56300,21300
VCB,56300,02/06/2025,14:22:59,56200,56300,56200,56300,21300
VCB,56300,02/06/2025,14:23:56,56200,56300,56200,56300,11100
