2025-08-04 10:06:16,916 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,917 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,917 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,918 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,918 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,919 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,919 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,920 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,920 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,920 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,921 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,921 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,922 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,922 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,923 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,923 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,924 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,924 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,925 - INFO - SELL 8657 EURUSD.sml @ 1.15415 VND, P&L: 13.24521 VND (0.13%)
2025-08-04 10:06:16,925 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,926 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,927 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,927 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,928 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,928 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,929 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,929 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,930 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,931 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,931 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,932 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,932 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,933 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,933 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,934 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,934 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,935 - INFO - BUY 8660 EURUSD.sml @ 1.15374 VND
2025-08-04 10:06:16,935 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,936 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,936 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,937 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,937 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,938 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,938 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,939 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,939 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,940 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,940 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,941 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,942 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,942 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,943 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,943 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,944 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,944 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,945 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,945 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,946 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,947 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,947 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,948 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,948 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,949 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,949 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,950 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,951 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,951 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,952 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,952 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,953 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,953 - INFO - Already have position in EURUSD.sml, skipping BUY signal
